CountyName,State,CoordinateSystem,ProjectName,StartDate,EndDate
Abbeville,South Carolina,6570,PD3,12/2019,2/2020
Aiken,South Carolina,6570,PD5 PD8,12/2019,2/2020
Allendale,South Carolina,6570,PD5,1/2020,2/2020
Allendale2,South Carolina,6570,GA B6,11/2018,4/2019
Anderson,South Carolina,6570,PD1 PD3,12/2019,2/2020
Bamberg,South Carolina,6570,PD5,1/2020,2/2020
Barnwell,South Carolina,6570,PD5,1/2020,2/2020
Beaufort,South Carolina,6570,PD6 PD7,1/2020,3/2020
Berkeley,South Carolina,6570,PD7,1/2020,3/2020
Berkeley2,South Carolina,6570,SC BERKLEY,12/2016,3/2017
Calhoun,South Carolina,6570,SC EAST CENTRAL,4/2018,4/2018
Charleston,South Carolina,6570,CHARLESTON 2016,12/2016,3/2017
Cherokee,South Carolina,6570,NO QL2 DATA,,NA
Chester,South Carolina,6570,NO QL2 DATA,,NA
Chesterfield,South Carolina,6570,PD5 PD6,1/2020,3/2020
Clarendon,South Carolina,6570,SC EAST CENTRAL,4/2018,4/2018
Colleton,South Carolina,6570,PD5 PD6,1/2020,3/2020
Darlington,South Carolina,6570,PD6,1/2020,3/2020
Dillon,South Carolina,6570,PD6,1/2020,3/2020
Dorchester,South Carolina,6570,PD7 PD6,1/2020,3/2020
Edgefield,South Carolina,6570,PD3 PD4 PD5,12/2019,2/2020
Fairfield,South Carolina,6570,PD5,1/2020,2/2020
Florence,South Carolina,6570,PD6,1/2020,3/2020
Georgetown,South Carolina,6570,GEORGETOWN 2016,12/2016,3/2017
Greenville,South Carolina,6570,PD1 P2D,12/2019,2/2020
Greenwood,South Carolina,6570,PD3,12/2019,2/2020
Hampton,South Carolina,6570,PD5 PD6,1/2020,3/2020
Hampton2,South Carolina,6570,GA B6,11/2018,4/2019
Horry,South Carolina,6570,NO QL2 DATA,,NA
Jasper,South Carolina,6570,PD6,1/2020,3/2020
Jasper2,South Carolina,6570,GA B6,11/2018,4/2019
Kershaw,South Carolina,6570,PD5 PD6,1/2020,3/2020
Lancaster,South Carolina,6570,PD5,1/2020,2/2020
Laurens,South Carolina,6570,PD1 PD3,12/2019,2/2020
Lee,South Carolina,6570,PD5 PD6,1/2020,3/2020
Lexington,South Carolina,6570,PD2,1/2020,1/2020
McCormick,South Carolina,6570,PD3 PD5,12/2019,2/2020
Marion,South Carolina,6570,PD6,1/2020,3/2020
Marlboro,South Carolina,6570,PD6,1/2020,3/2020
Newberry,South Carolina,6570,PD3,12/2019,2/2020
Oconee,South Carolina,6570,PD1,12/2019,2/2020
Orangeburg,South Carolina,6570,SC EAST CENTRAL (PARTIAL),4/2018,4/2018
Orangeburg2,South Carolina,6570,SC EAST CENTRAL TL,4/2018,4/2018
Orangeburg3,South Carolina,6570,SC EAST CENTRAL TL,4/2018,4/2018
Pickens,South Carolina,6570,PD1,12/2019,2/2020
Richland,South Carolina,6570,PD5,1/2020,2/2020
Saluda,South Carolina,6570,PD3,12/2019,2/2020
Spartanburg,South Carolina,6570,PD1,12/2019,2/2020
Sumter,South Carolina,6570,PD5 PD6,1/2020,3/2020
Union,South Carolina,6570,NO QL2 DATA,,NA
Williamsburg,South Carolina,6570,SC WILLIAMSBURG,12/2016,3/2017
York,South Carolina,6570,NO QL2 DATA,,NA
