STPO,STATENAME,FIPS_C,FIPS_I,UTMDESGN,COUNTYNAME,BOTTOM,TOP_,LEFT_,RIGHT_,FIPSST,FIPSCO
AL,Alabama,01101,1101.00000000000,16.00000000000,Montgomery,31.96506000000,32.50169000000,-86.49847000000,-85.91857000000,01,101
AL,Alabama,01103,1103.00000000000,16.00000000000,Morgan,34.30469000000,34.68603000000,-87.11011000000,-86.54975000000,01,103
AL,Alabama,01105,1105.00000000000,16.00000000000,Perry,32.30729000000,32.87512000000,-87.52568000000,-87.01765000000,01,105
AL,Alabama,01107,1107.00000000000,16.00000000000,Pickens,32.99119000000,33.53400000000,-88.34043000000,-87.83659000000,01,107
AL,Alabama,01109,1109.00000000000,16.00000000000,Pike,31.61641000000,32.06185000000,-86.19940000000,-85.65766000000,01,109
AL,Alabama,01111,1111.00000000000,16.00000000000,Randolph,33.10663000000,33.50137000000,-85.65394000000,-85.23237000000,01,111
AL,Alabama,01113,1113.00000000000,16.00000000000,Russell,32.06170000000,32.51047000000,-85.43474000000,-84.88824000000,01,113
AL,Alabama,01115,1115.00000000000,16.00000000000,St. Clair,33.39098000000,33.98940000000,-86.57782000000,-86.04387000000,01,115
AL,Alabama,01117,1117.00000000000,16.00000000000,Shelby,33.01866000000,33.54615000000,-87.02684000000,-86.34093000000,01,117
AL,Alabama,01119,1119.00000000000,16.00000000000,Sumter,32.30743000000,32.99586000000,-88.42145000000,-87.84085000000,01,119
AL,Alabama,01121,1121.00000000000,16.00000000000,Talladega,33.10294000000,33.69949000000,-86.50359000000,-85.79456000000,01,121
AL,Alabama,01123,1123.00000000000,16.00000000000,Tallapoosa,32.49297000000,33.10734000000,-86.01386000000,-85.59298000000,01,123
AL,Alabama,01125,1125.00000000000,16.00000000000,Tuscaloosa,33.00337000000,33.60983000000,-87.84071000000,-87.06573000000,01,125
AL,Alabama,01127,1127.00000000000,16.00000000000,Walker,33.51292000000,34.00530000000,-87.63611000000,-86.95361000000,01,127
AL,Alabama,01129,1129.00000000000,16.00000000000,Washington,31.11406000000,31.69930000000,-88.46442000000,-87.88726000000,01,129
AL,Alabama,01131,1131.00000000000,16.00000000000,Wilcox,31.82712000000,32.26903000000,-87.66794000000,-86.85657000000,01,131
AL,Alabama,01133,1133.00000000000,16.00000000000,Winston,33.98488000000,34.30699000000,-87.63657000000,-87.10991000000,01,133
AZ,Arizona,04001,4001.00000000000,12.00000000000,Apache,33.47558000000,36.99938000000,-110.00067000000,-109.04522000000,04,001
AZ,Arizona,04003,4003.00000000000,12.00000000000,Cochise,31.33250000000,32.42765000000,-110.46091000000,-109.04761000000,04,003
AZ,Arizona,04005,4005.00000000000,12.00000000000,Coconino,34.25841000000,37.00327000000,-113.35417000000,-110.75067000000,04,005
AZ,Arizona,04007,4007.00000000000,12.00000000000,Gila,32.98372000000,34.49931000000,-111.72066000000,-110.00064000000,04,007
AZ,Arizona,04009,4009.00000000000,12.00000000000,Graham,32.42447000000,33.65288000000,-110.45795000000,-109.11398000000,04,009
