needs_revi,county,collection,collecti_1,projects,UPCASE_CO,Chad_RVW
,Appling,1-2019,4-2019,GA_Statewide_11_2018,APPLING,yes
,Atkinson,2-2019,4-2019,GA_Statewide_10_2018,ATKINSON,yes
,Baker,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,BAKER,yes
,Baldwin,12-2019,1-2020,GA_Central_1_2019,BALDWIN,yes
,Barrow,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,BARROW,yes
,Bartow,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,BARTOW,yes
,Berrien,2-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,BERRIEN,yes
,Bibb,12-2019,2-2020,GA_Central_5_2019,BIBB,yes
,Brantley,1-2019,4-2019,GA_Statewide_B5_2018,BRANTLEY,yes
,Brooks,3-2016,2-2017,GA_Georgia_A1_2016,BROOKS,yes
,Bryan,11-2018,4-2019,GA_Statewide_B6_2018,BRYAN,yes
,Burke,2-2016,2-2017,GA_Georgia_A2_2016,BURKE,yes
,Bacon,1-2019,4-2019,GA_Statewide_11_2018,BACON,yes
,Banks,3-2019,4-2019,GA_Statewide_B4_2018,BANKS,yes
,Ben Hill,1-2019,4-2019,GA_Statewide_11_2018,BEN HILL,yes
,Bleckley,1-2021,1-2021,GA_SW_Georgia_B4_2017,BLECKLEY,yes
,Bulloch,11-2018,4-2019,GA_Statewide_B6_2018,BULLOCH,yes
,Butts,12-2019,2-2020,GA_Central_5_2019,BUTTS,yes
,Cherokee,1-2019,4-2019,GA_Statewide_B2_2018,CHEROKEE,yes
,Clarke,3-2019,4-2019,GA_Statewide_B4_2018,CLARKE,yes
,Clay,2-2016,3-2020,GA_Central_3_2019|GA_Georgia_A3_2016,CLAY,yes
,Clayton,12-2019,2-2020,GA_Central_5_2019,CLAYTON,yes
,Clinch,1-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,CLINCH,yes
,Camden,1-2019,4-2019,GA_Statewide_B5_2018,CAMDEN,yes
,Charlton,1-2019,4-2019,GA_Statewide_B5_2018,CHARLTON,yes
,Chatham,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_11_2018,CHATHAM,yes
,Cook,2-2020,3-2020,GA_Central_3_2019,COOK,yes
,Crawford,1-2021,1-2021,GA_SW_Georgia_B4_2017,CRAWFORD,yes
,Crisp,1-2021,1-2021,GA_SW_Georgia_B4_2017,CRISP,yes
,Calhoun,2-2020,3-2020,GA_Central_3_2019,CALHOUN,yes
,Candler,11-2018,4-2019,GA_Statewide_B6_2018,CANDLER,yes
,Carroll,1-2020,1-2020,GA_Central_6_2019,CARROLL,yes
,Catoosa,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,CATOOSA,yes
1,Chattahoochee,1-2017,12-2017,GA_Unknown_1_2017_12_2017,CHATTAHOOCHEE,yes
,Chattooga,1-2019,4-2019,GA_Statewide_B1_2018,CHATTOOGA,yes
,Coweta,1-2020,1-2020,GA_Central_6_2019,COWETA,yes
,Cobb,1-2019,4-2019,GA_Statewide_B2_2018,COBB,yes
,Coffee,1-2019,4-2019,GA_Statewide_11_2018,COFFEE,yes
,Colquitt,3-2016,3-2020,GA_Georgia_A1_2016|GA_Central_3_2019,COLQUITT,yes
,Columbia,11-2018,1-2019,GA_Statewide_B8_2018,COLUMBIA,yes
,DeKalb,3-2019,4-2019,GA_Statewide_B3_2018,DEKALB,yes
,Dade,1-2019,4-2019,GA_Statewide_B1_2018,DADE,yes
,Dawson,3-2019,4-2019,GA_Statewide_B3_2018,DAWSON,yes
,Decatur,2-2020,3-2020,GA_Central_4_2019,DECATUR,yes
,Dodge,1-2021,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,DODGE,yes
,Dooly,1-2021,1-2021,GA_SW_Georgia_B4_2017,DOOLY,yes
,Dougherty,2-2020,3-2020,GA_Central_3_2019,DOUGHERTY,yes
,Douglas,1-2020,1-2020,GA_Central_6_2019,DOUGLAS,yes
,Effingham,11-2018,4-2019,GA_Statewide_B6_2018,EFFINGHAM,yes
,Elbert,11-2018,4-2019,GA_Statewide_B7_2018,ELBERT,yes
,Emanuel,11-2018,4-2019,GA_Statewide_B6_2018,EMANUEL,yes
,Early,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,EARLY,yes
,Echols,1-2019,4-2019,GA_Statewide_12_2018,ECHOLS,yes
,Evans,11-2018,4-2019,GA_Statewide_B6_2018,EVANS,yes
,Fayette,12-2019,2-2020,GA_Central_5_2019,FAYETTE,yes
,Fulton,1-2019,4-2019,GA_Statewide_B2_2018,FULTON,yes
