NAME,SP_Zone,UTM_Zone,Projects,Month/Year Range,Tif Files in Co Folder/Mosaic Dataset,Complete Coverage Verified,Quality Level,Notes
Adams,West,15,MS_NatchezTrace_2016,1/2016 - 1/2017,yes,yes2,QL2,Column3
Alcorn,East,16,MS_Tishomingo_North_2016,1/2016 - 2/2016,yes,yes,0,
Amite,West,15,MS_NatchezTrace_2016,1/2016 - 1/2017,yes,yes,,
Attala,East,16,MS_Laurel_2014,1/2014 - 2/2015,yes,yes,,2 missing DEM tiles
Benton,East,16,MS_MississippiDelta_A1_2018|MS_MississippiDelta_3_2018,2/2018 - 12/2020,yes,yes,,
Benton2,East,16,MS_Tishomingo_North_2016,1/2016 - 2/2016,yes,yes,,
Benton3,East,16,TN_3County_2015,12/2015 - 1/2016,yes,yes,,
Bolivar,West,15,MS_MississippiDelta_A2_2018|MS_MississippiDelta_4_2018,1/2019 - 12/2020,yes,yes,,
Calhoun,East,16,MS_MississippiDelta_A1_2018,2/2018 - 2/2019,yes,yes,,
Carroll,West,16,MS_MississippiDelta_3_2018,2/2018 - 12/2020,yes,yes,,Has a small hole in the data check to see how it was handled
Carroll2,West,16,MS_Laurel_2014,1/2014 - 2/2015,yes,yes,,
Chickasaw,East,16,MS_NRCS_East_2_2018,12/2019 - 2/2020,yes,yes,,
Choctaw,East,16,MS_NRCS_East_2_2018,12/2019 - 2/2020,yes,yes,,
Choctaw2,East,16,MS_Laurel_2014,1/2014 - 2/2015,yes,yes,,
Claiborne,West,15,MS_NatchezTrace_2016,1/2016 - 1/2017,yes,yes,,
Clarke,East,16,MS_NRCS_LAUDERDALE_2013,1/2013 - 2/2013,yes,yes,,
Clay,East,16,MS_NRCS_East_2_2018,12/2019 - 2/2020,yes,yes,,
Coahoma,West,15,MS_MississippiDelta_A2_2018|MS_MississippiDelta_3_2018|MS_MississippiDelta_4_2018,2/2018 - 12/2020,yes,yes,,
Copiah,West,15,MS_Coastal_Z15_2015,1/2015 - 4/2015,yes,yes,,
Covington,East,16,MS_Tupelo_UTM16_2015,1/2015 - 3/2015,yes,yes,,
Desoto,West,16,MS_MississippiDelta_A1_2018|MS_MississippiDelta_A2_2018|MS_MississippiDelta_4_2018,2/2018 - 12/2020,yes,yes,,DEMs from 2 UTM zones (Double Check Output Contours)
Forrest,East,16,MS_Tishomingo_South_2016,1/2016 - 2/2016,yes,yes,,
Franklin,West,15,MS_NatchezTrace_2016,1/2016 - 1/2017,yes,yes,,
George (Empty),East,16,MS_Coastal_3DEPExt_Coastal_AOI_2015,1/2015 - 4/2015,NA,,,No QL2 1M data available
Greene,East,16,MS_Tishomingo_South_2016,1/2016 - 2/2016,yes,yes,,
Greene2,East,16,MS_Tupelo_UTM16_2015,1/2015 - 3/2015,yes,yes,,
Grenada,West,16,MS_MississippiDelta_A1_2018|MS_MississippiDelta_A2_2018|MS_MississippiDelta_3_2018,2/2018 - 12/2020,yes,yes,,
Gulf1 (Empty),East,16,LA_SoTerrebonne_GI_2015,1/2015 - 2/2015,NA,,,No QL2 1M data available
Gulf2 (Empty),East,16,LA_SoTerrebonne_GI_2015,1/2015 - 2/2015,NA,,,No QL2 1M data available
Gulf3 (Empty),East,16,LA_SoTerrebonne_GI_2015,1/2015 - 2/2015,NA,,,No QL2 1M data available
Hancock (Empty),East,16,MS_Coastal_3DEPExt_Coastal_AOI_2015,1/2015 - 4/2015,NA,,,No QL2 1M data available
Harrison (Empty),East,16,MS_Coastal_3DEPExt_Coastal_AOI_2015,1/2015 - 4/2015,NA,,,No QL2 1M data available
Hinds,West,15,MS_NatchezTrace_2016,1/2016 - 1/2017,yes,yes,,
