NAME,Zone,Projects,Month/Year Range,Tif Files in Co Folder/Mosaic Dataset,Complete Coverage Verified,Contours.py.status,Run Time HH.MM,Shapes/Dwg Created,GeoJSON Index Created
Abbeville,Same,SC_SavannahPeeDee_3_2019,12/2019 - 2/2020,,,,,,
Aiken,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_8_2019,12/2019 - 2/2020,,,,,,
Allendale,Same,SC_SavannahPeeDee_5_2019,1/2020 - 2/2020,,,,,,
Allendale2,Same,GA_Statewide_B6_2018,11/2018 - 4/2019,,,,,,
Anderson,Same,SC_SavannahPeeDee_1_2019|SC_SavannahPeeDee_3_2019,12/2019 - 2/2020,,,,,,
Bamberg,Same,SC_SavannahPeeDee_5_2019,1/2020 - 2/2020,,,,,,
Barnwell,Same,SC_SavannahPeeDee_5_2019,1/2020 - 2/2020,,,,,,
Beaufort,Same,SC_SavannahPeeDee_6_2019|SC_SavannahPeeDee_7_2019,1/2020 - 3/2020,,,,,,
Berkeley,Same,SC_SavannahPeeDee_7_2019,1/2020 - 3/2020,,AL_NorthAL_2019,,,,
Berkeley2,Same,SC_Berkeley_2016,12/2016 - 3/2017,,,,,,
Calhoun,Same,SC_East_Central_2017,4/2018 - 4/2018,,,,,,
Charleston,Same,SC_Charleston_2016,12/2016 - 3/2017,,,,,,
Cherokee,Same,,NA,NO DATA,,,,,
Chester,Same,,NA,NO DATA,,,,,
Chesterfield,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Clarendon,Same,SC_East_Central_2017,4/2018 - 4/2018,,,,,,
Colleton,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Darlington,Same,SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Dillon,Same,SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Dorchester,Same,SC_SavannahPeeDee_7_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Edgefield,Same,SC_SavannahPeeDee_3_2019|SC_SavannahPeeDee_4_2019|SC_SavannahPeeDee_5_2019,12/2019 - 2/2020,,,,,,
Fairfield,Same,SC_SavannahPeeDee_5_2019,1/2020 - 2/2020,"PARTIAL COUNTY ONLY, OK",,,,,
Florence,Same,SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Georgetown,Same,SC_Georgetown_2016,12/2016 - 3/2017,,,,,,
Greenville,Same,SC_SavannahPeeDee_1_2019|P2D,12/2019 - 2/2020,,,,,,
Greenwood,Same,SC_SavannahPeeDee_3_2019,12/2019 - 2/2020,,,,,,
Hampton,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Hampton2,Same,GA_Statewide_B6_2018,11/2018 - 4/2019,,,,,,
Horry,Same,,NA,NO DATA,,,,,
Jasper,Same,SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Jasper2,Same,GA_Statewide_B6_2018,11/2018 - 4/2019,,,,,,
Kershaw,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Lancaster,Same,SC_SavannahPeeDee_5_2019,1/2020 - 2/2020,"PARTIAL COUNTY ONLY, OK",,,,,
Laurens,Same,SC_SavannahPeeDee_1_2019|SC_SavannahPeeDee_3_2019,12/2019 - 2/2020,,,,,,
Lee,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Lexington,Same,SC_SavannahPeeDee_2_2019,1/2020 - 1/2020,,,,,,
McCormick,Same,SC_SavannahPeeDee_3_2019|SC_SavannahPeeDee_5_2019,12/2019 - 2/2020,,,,,,
Marion,Same,SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Marlboro,Same,SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Newberry,Same,SC_SavannahPeeDee_3_2019,12/2019 - 2/2020,,,,,,
Oconee,Same,SC_SavannahPeeDee_1_2019,12/2019 - 2/2020,,,,,,
Orangeburg,Same,SC_East_Central_2017,4/2018 - 4/2018,,,,,,
Orangeburg2,Same,SC_East_Central_TL_2018,4/2018 - 4/2018,,,,,,
Orangeburg3,Same,SC_East_Central_TL_2018,4/2018 - 4/2018,,,,,,
Pickens,Same,SC_SavannahPeeDee_1_2019,12/2019 - 2/2020,,,,,,
Richland,Same,SC_SavannahPeeDee_5_2019,1/2020 - 2/2020,,,,,,
Saluda,Same,SC_SavannahPeeDee_3_2019,12/2019 - 2/2020,,,,,,
Spartanburg,Same,SC_SavannahPeeDee_1_2019,12/2019 - 2/2020,,,,,,
Sumter,Same,SC_SavannahPeeDee_5_2019|SC_SavannahPeeDee_6_2019,1/2020 - 3/2020,,,,,,
Union,Same,,NA,NO DATA,,,,,
Williamsburg,Same,SC_Williamsburg_2016,12/2016 - 3/2017,,,,,,
York,Same,,NA,NO DATA,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,PD1,12/2019 - 2/2020,,,,,,
,,PD2,1/2020 - 1/2020,,,,,,
,,PD3,12/2019 - 2/2020,,,,,,
,,PD4,1/2020 - 1/2020,,,,,,
,,PD5,1/2020 - 2/2020,,,,,,
,,PD6,1/2020 - 3/2020,,,,,,
,,PD7,1/2020 - 3/2020,,,,,,
,,PD8,1/2020 - 1/2020,,,,,,
,,SC EAST CENTRAL,4/2018 - 4/2018,,,,,,
,,SC WILLIAMSBURG,12/2016 - 3/2017,,,,,,
,,SC BERKLEY,12/2016 - 3/2017,,,,,,
,,SC EAST CENTRAL TL,4/2018 - 4/2018,,,,,,
,,GA B6,11/2018 - 4/2019,,,,,,
,,GEORGETOWN 2016,12/2016 - 3/2017,,,,,,
,,CHARLESTON 2016,12/2016 - 3/2017,,,,,,
