county,collection_start,collection_end,projects,needs_review
Appling,1-2019,4-2019,GA_Statewide_11_2018,
Atkinson,2-2019,4-2019,GA_Statewide_10_2018,
Baker,2-2016,9-2018,GA_Central_3_2019|GA_Central_4_2019,
Baldwin,11-2018,1-2020,GA_Central_1_2019,
Barrow,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,
Bartow,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,
Berrien,2-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,
Bibb,12-2019,1-2021,GA_Central_5_2019,
Brantley,1-2019,4-2019,GA_Statewide_B5_2018,
Brooks,12-2015,1-2020,GA_Georgia_A1_2016,1
Bryan,11-2018,4-2019,GA_Statewide_B6_2018,
Burke,2-2016,2-2020,GA_Georgia_A2_2016,1
Bacon,1-2019,4-2019,GA_Statewide_11_2018,
Banks,3-2019,4-2019,GA_Statewide_B4_2018,
Ben Hill,1-2019,4-2019,GA_Statewide_11_2018,
Bleckley,12-2018,1-2021,GA_SW_Georgia_B4_2017,
Bulloch,2-2016,4-2019,GA_Statewide_B6_2018,
Butts,3-2016,2-2020,GA_Central_5_2019,1
Cherokee,1-2019,4-2019,GA_Statewide_B2_2018,
Clarke,3-2019,4-2019,GA_Statewide_B4_2018,
Clay,2-2016,3-2020,GA_Central_3_2019|GA_Georgia_A3_2016,1
Clayton,12-2019,2-2020,GA_Central_5_2019,
Clinch,12-2015,1-2020,GA_Statewide_10_2018|GA_Statewide_12_2018,1
Camden,11-2018,4-2019,GA_Statewide_B5_2018,
Charlton,11-2018,1-2020,GA_Statewide_B5_2018,
Chatham,11-2018,3-2020,GA_Statewide_B5_2018|GA_Statewide_11_2018,
Cook,3-2016,3-2020,GA_Central_3_2019,1
Crawford,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Crisp,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Calhoun,2-2016,3-2020,GA_Central_3_2019,1
Candler,11-2018,4-2019,GA_Statewide_B6_2018,
Carroll,1-2013,1-2021,GA_Central_6_2019,1
Catoosa,12-2015,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,1
Chattahoochee,3-2016,6-2020,GA_Unknown_1_2017_12_2017,1
Chattooga,2-2017,4-2019,GA_Statewide_B1_2018,
Coweta,3-2017,1-2020,GA_Central_6_2019,
Cobb,1-2019,1-2020,GA_Statewide_B2_2018,
Coffee,1-2019,4-2019,GA_Statewide_11_2018,
Colquitt,3-2016,2-2017,GA_Georgia_A1_2016|GA_Central_3_2019,
Columbia,11-2018,4-2019,GA_Statewide_B8_2018,
DeKalb,1-2019,2-2020,GA_Statewide_B3_2018,
Dade,12-2015,4-2019,GA_Statewide_B1_2018,1
Dawson,3-2019,4-2019,GA_Statewide_B3_2018,
Decatur,3-2016,9-2018,GA_Central_4_2019,
Dodge,12-2018,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,
