Zone,Projection,Zone FIPS,NAD 27 US Feet,NAD 83 Meters,NAD 83 US Feet,NAD 83 Intl Feet,NAD 83 (HARN) Meters,NAD 83 (HARN) US Feet,NAD 83 (HARN) Intl Feet,NAD 83 (CORS 96) Meters,NAD 83 (CORS 96) US Feet,NAD 83 (NSRS 2007) Meters,NAD 83 (NSRS 2007) US Feet,NAD 83 (NSRS 2007) Intl Feet,NAD 83 (2011) Meters,NAD 83 (2011) US Feet,NAD 83 (2011) Intl Feet
Alabama East,Transverse Mercator,101,26729,26929,ESRI:102629,,2759,,,ESRI:103220,,3465,,,6355,9748,
Alabama West,Transverse Mercator,102,26730,26930,,,2760,,,ESRI:103221,,3466,,,6356,9749,
Alaska Zone 1,Transverse Mercator,5001,26731,26931,,,,,,ESRI:102366,,3468,,,6394,102445,
Alaska Zone 2,Transverse Mercator,5002,26732,26932,,,,,,ESRI:102367,,3469,,,6395,102446,
Alaska Zone 3,Transverse Mercator,5003,26733,26933,,,,,,ESRI:102368,,3470,,,6396,102447,
Alaska Zone 4,Transverse Mercator,5004,26734,26934,,,,,,ESRI:102369,,3471,,,6397,102392,
Alaska Zone 5,Transverse Mercator,5005,26735,26935,,,,,,ESRI:102370,,3472,,,6398,102393,
Alaska Zone 6,Transverse Mercator,5006,26736,26936,,,,,,ESRI:102371,,3473,,,6399,102394,
Alaska Zone 7,Transverse Mercator,5007,26737,26937,,,,,,ESRI:102372,,3474,,,6400,102395,
Alaska Zone 8,Transverse Mercator,5008,26738,26938,,,,,,ESRI:102373,,3475,,,6401,102396,
Alaska Zone 9,Transverse Mercator,5009,26739,26939,,,,,,ESRI:102374,,3476,,,6402,102397,
Alaska Zone 10,Transverse Mercator,5010,26740,26940,,,,,,ESRI:102375,,3477,,,6403,102398,
Arizona East,Transverse Mercator,201,26748,26948,,2222,2761,,2867,ESRI:103222,ESRI:103225,3480,,3481,6406,,6407
Arizona Central,Transverse Mercator,202,26749,26949,,2223,2762,,2868,ESRI:103223,ESRI:103226,3478,,3479,6404,,6405
Arizona West,Transverse Mercator,203,26750,26950,,2224,2763,,2869,ESRI:103224,ESRI:103227,3482,,3483,6408,,6409
Arkansas North,Lambert Conformal Conic,301,26751,26951,3433,,2764,3441,,ESRI:103228,ESRI:103230,3484,3485,,6410,6411,
Arkansas South,Lambert Conformal Conic,302,26752,26952,3434,,2765,3442,,ESRI:103229,ESRI:103231,3486,3487,,6412,6413,
California Zone 1,Transverse Mercator,401,26741,26941,2225,,2766,2870,,ESRI:103232,ESRI:103238,3489,3490,,6415,6416,
California Zone 2,Transverse Mercator,402,26742,26942,2226,,2767,2871,,ESRI:103233,ESRI:103239,3491,3492,,6417,6418,
California Zone 3,Transverse Mercator,403,26743,26943,2227,,2768,2872,,ESRI:103234,ESRI:103240,3493,3494,,6419,6420,
